WorkTimeInSeconds...1,multiplier,amount,age,gender,income,WorkTimeInSeconds...7,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",batch
150,1.58,0.4,60-69,Female,"$80,000 - $99,999",60,46,92,Didn't vote,PA,Independent,Once or twice a month,g
96,1.69,0.6,18-29,Male,"$60,000 - $79,999",49,100,0,Hillary Clinton,CO,Democrat,Never,g
111,0.15,0,30-39,Female,"$60,000 - $79,999",383,91,0,Hillary Clinton,IL,Democrat,Never,g
309,1.83,0.5,30-39,Female,"Under $20,000",64,82,0,Hillary Clinton,NY,Democrat,Never,g
92,0.17,0.9,30-39,Male,"Under $20,000",46,51,9,Someone else,CO,Republican,Seldom,g
85,1.36,0,30-39,Female,"Over $100,000",37,100,0,Hillary Clinton,NH,Democrat,Never,g
118,1.17,0.6,50-59,Male,"Under $20,000",48,0,14,Donald Trump,RI,Republican,A few times a year,g
412,0.58,0.46,30-39,Male,"$60,000 - $79,999",539,73,70,Donald Trump,TX,Democrat,Once or twice a month,g
250,0.18,0,50-59,Male,"$80,000 - $99,999",2252,79,77,Hillary Clinton,UT,Democrat,Once a week,g
766,0.85,0.4,40-49,Female,"$40,000 - $59,999",337,100,0,Hillary Clinton,CA,Democrat,Never,g
102,0.29,0.1,30-39,Female,"$20,000 - $39,999",47,60,19,Donald Trump,MO,Independent,A few times a year,g
134,0.81,0,18-29,Female,"$20,000 - $39,999",19,100,0,Hillary Clinton,TX,Democrat,Never,g
138,1.97,1,60-69,Male,"Under $20,000",114,96,28,Hillary Clinton,GA,Democrat,Never,g
62,0.47,1,30-39,Female,"$60,000 - $79,999",42,32,90,Donald Trump,NC,Independent,Once a week,g
1280,1.76,0,50-59,Female,"Under $20,000",172,0,0,Donald Trump,SC,Republican,Never,g
54,1.61,0.2,18-29,Male,"$60,000 - $79,999",36,44,9,Didn't vote,LA,Independent,Never,g
364,0.36,0.08,18-29,Male,"$60,000 - $79,999",58,75,20,Donald Trump,KY,Independent,Seldom,g
205,0.4,0.6,50-59,Male,"$60,000 - $79,999",100,60,82,Donald Trump,SC,Independent,Seldom,g
144,0.68,1,40-49,Male,"$40,000 - $59,999",2575,19,0,Hillary Clinton,IL,Democrat,Never,g
221,1.17,0,40-49,Female,"$20,000 - $39,999",65,60,13,Hillary Clinton,NY,Democrat,Never,g
119,1.16,0,40-49,Male,"$40,000 - $59,999",49,20,53,Donald Trump,VA,Republican,A few times a year,g
178,0.66,0,18-29,Male,"Over $100,000",44,90,0,Hillary Clinton,IL,Democrat,Never,g
85,0.78,0,40-49,Male,"Over $100,000",74,86,85,Hillary Clinton,NC,Democrat,A few times a year,g
140,0.98,0.2,40-49,Female,"Over $100,000",82,91,84,Didn't vote,IL,Democrat,Never,g
80,0.81,0,18-29,Female,"$80,000 - $99,999",50,85,18,Someone else,GA,Democrat,Never,g
92,0.21,0,30-39,Male,"$40,000 - $59,999",33,95,0,Someone else,CA,Independent,Never,g
171,0.15,0.15,18-29,Female,"$40,000 - $59,999",52,68,56,Donald Trump,0,Independent,A few times a year,g
121,1.29,0,40-49,Male,"$20,000 - $39,999",254,0,70,Donald Trump,CA,Republican,Seldom,g
157,0.08,0,40-49,Female,"$20,000 - $39,999",98,42,0,Donald Trump,MS,Republican,Never,g
76,0.36,0,50-59,Male,"$40,000 - $59,999",68,51,1,Donald Trump,FL,Independent,Never,g
75,0.38,0,30-39,Male,"$40,000 - $59,999",36,95,9,Hillary Clinton,MI,Independent,Seldom,g
89,1.11,0.1,30-39,Female,"$80,000 - $99,999",42,36,8,Donald Trump,NY,Republican,Seldom,g
139,1.34,0.5,30-39,Male,"$60,000 - $79,999",2968,70,9,Hillary Clinton,KY,Democrat,A few times a year,g
117,0.99,0.1,40-49,Female,"$60,000 - $79,999",98,58,11,Didn't vote,CA,Democrat,Seldom,g
104,1.34,0.4,18-29,Female,"$20,000 - $39,999",54,71,96,Hillary Clinton,NE,Democrat,More than once a week,g
60,0.15,1,18-29,Other / Prefer not to state,Prefer not to state,53,16,90,Donald Trump,AL,Republican,Once or twice a month,g
75,0.17,0,40-49,Male,"Under $20,000",50,88,91,Someone else,MO,Independent,Once a week,g
55,1.47,0.15,18-29,Female,"Under $20,000",30,50,0,Didn't vote,FL,Something else,Never,g
81,1.48,0,40-49,Male,"Under $20,000",46,38,19,Didn't vote,NY,Republican,A few times a year,g
237,0.97,0,18-29,Male,"$20,000 - $39,999",52,100,0,Someone else,VA,Independent,Never,g
178,1.42,0.5,50-59,Male,"Under $20,000",105,70,3,Hillary Clinton,MO,Democrat,Never,g
42,1.61,0.4,30-39,Female,"$80,000 - $99,999",118,78,16,Hillary Clinton,MN,Democrat,Seldom,g
81,1.3,0,18-29,Male,"$60,000 - $79,999",41,17,24,Donald Trump,FL,Republican,Seldom,g
65,0.06,0,30-39,Female,"$60,000 - $79,999",154,83,19,Hillary Clinton,KY,Democrat,Seldom,g
99,0.63,0,30-39,Male,"Under $20,000",41,81,0,Hillary Clinton,MN,Democrat,Never,g
165,0.88,0.6,18-29,Male,"$20,000 - $39,999",90,81,0,Hillary Clinton,MO,Independent,Never,g
109,2,0.1,18-29,Male,"$20,000 - $39,999",32,91,0,Didn't vote,OK,Democrat,Never,g
107,0.98,0.4,30-39,Female,"$40,000 - $59,999",46,96,87,Hillary Clinton,TX,Democrat,Seldom,g
331,1.72,0.5,30-39,Female,"$80,000 - $99,999",63,100,0,Hillary Clinton,SC,Democrat,Never,g
121,0.81,0,30-39,Male,"$40,000 - $59,999",37,100,0,Hillary Clinton,LA,Democrat,Never,g
59,1.59,0,18-29,Male,"$20,000 - $39,999",36,80,0,Hillary Clinton,AZ,Democrat,Never,g
48,0.04,0,30-39,Female,"$20,000 - $39,999",31,62,0,Didn't vote,NY,Independent,Never,g
704,0.49,0.5,30-39,Male,"$40,000 - $59,999",52,0,0,Donald Trump,FL,Republican,Never,g
293,0.05,1,30-39,Male,"$20,000 - $39,999",461,72,83,Donald Trump,TX,Democrat,A few times a year,g
