WorkerId,HITTypeId,Reward,CreationTime,MaxAssignments,AssignmentId,AcceptTime,SubmitTime,WorkTimeInSeconds,Answer.surveycode,multiplier,amount,age,gender,income,AcceptTime,WorkTimeInSeconds,IPAddress,LocationLatitude,LocationLongitude,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",,
AVCP33K35MFW5,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,304SM51WA34NAN0XOX1M9YF2U8LBS9,Tue Sep 25 12:18:22 PDT 2018,Tue Sep 25 12:20:52 PDT 2018,150,17274,1.58,0.4,60-69,Female,"$80,000 - $99,999",Thu Oct 11 10:13:17 PDT 2018,60,71.61.193.44,40.67179871,-80.29170227,46,92,Didn't vote,PA,Independent,Once or twice a month,Thu Oct 11 10:13:17 PDT 2018,Thu Oct 11 10:13:17 PDT 2018
A2RRM4UUPSTUKF,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,30H4UDGLT2IMGMO2N5N1S9LLJNIPMW,Tue Sep 25 12:18:51 PDT 2018,Tue Sep 25 12:20:27 PDT 2018,96,84557,1.69,0.6,18-29,Male,"$60,000 - $79,999",Wed Oct 10 16:05:13 PDT 2018,49,73.217.45.149,39.73269653,-104.9717026,100,0,Hillary Clinton,CO,Democrat,Never,,
A1NIUGUHB41CJG,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,30OG32W0SUBO1DKCQSMQBCBHA6QNE9,Tue Sep 25 12:17:49 PDT 2018,Tue Sep 25 12:19:40 PDT 2018,111,94080,0.15,0,30-39,Female,"$60,000 - $79,999",Wed Oct 10 13:47:55 PDT 2018,383,47.216.61.48,34.42280579,-114.125,91,0,Hillary Clinton,IL,Democrat,Never,,
A2FARB7LA24AU8,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,3137ONMDKG5IRL3Q3O9VLS2K9U3GET,Tue Sep 25 12:16:28 PDT 2018,Tue Sep 25 12:21:37 PDT 2018,309,11318,1.83,0.5,30-39,Female,"Under $20,000",Thu Oct 11 10:58:06 PDT 2018,64,68.129.243.14,40.81350708,-73.93810272,82,0,Hillary Clinton,NY,Democrat,Never,,
A1QVNF19XSRSD7,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,3137ONMDKG5IRL3Q3O9VLS2K9V7GEZ,Tue Sep 25 12:22:43 PDT 2018,Tue Sep 25 12:24:15 PDT 2018,92,53489,0.17,0.9,30-39,Male,"Under $20,000",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A3QSJY1FFN0N6V,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,317HQ483I7S0HIMYMBCHWR9920YNIL,Tue Sep 25 12:19:22 PDT 2018,Tue Sep 25 12:20:47 PDT 2018,85,59672,1.36,0,30-39,Female,"Over $100,000",Wed Oct 10 16:40:05 PDT 2018,37,73.119.239.216,43.0072937,-71.44819641,100,0,Hillary Clinton,NH,Democrat,Never,,
A2L0DI8GCL54U8,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,31JLPPHS2UU3904R2N577A7P9R4O3X,Tue Sep 25 12:16:32 PDT 2018,Tue Sep 25 12:18:30 PDT 2018,118,53622,1.17,0.6,50-59,Male,"Under $20,000",Thu Oct 11 11:13:41 PDT 2018,48,70.181.35.44,41.7026062,-71.44760132,0,14,Donald Trump,RI,Republican,A few times a year,,
A1D5KFUJ8BFRB0,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,31LVTDXBL7ANMHMW0LQBXR6BK0FLRH,Tue Sep 25 12:16:39 PDT 2018,Tue Sep 25 12:23:31 PDT 2018,412,96058,0.58,0.46,30-39,Male,"$60,000 - $79,999",Wed Oct 10 13:48:23 PDT 2018,539,49.205.111.251,10.99249268,76.96139526,73,70,Donald Trump,TX,Democrat,Once or twice a month,,
A113PABI98VW6G,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,31QTRG6Q2TDMA3DG68BCM48SSXWYPV,Tue Sep 25 12:18:22 PDT 2018,Tue Sep 25 12:22:32 PDT 2018,250,88565,0.18,0,50-59,Male,"$80,000 - $99,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A2FFGTL0FBW7OQ,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,32M8BPYGATMU7Q5CZ7ZM670C1NAIG4,Tue Sep 25 12:16:21 PDT 2018,Tue Sep 25 12:29:07 PDT 2018,766,8524,0.85,0.4,40-49,Female,"$40,000 - $59,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
